Threads,Durata FFT (ms),Eseguibile,File di input
1,59773,OMP_FFT.exe,data/numbers_134217728.txt
2,35518,OMP_FFT.exe,data/numbers_134217728.txt
3,29080,OMP_FFT.exe,data/numbers_134217728.txt
4,24410,OMP_FFT.exe,data/numbers_134217728.txt
5,22091,OMP_FFT.exe,data/numbers_134217728.txt
6,20684,OMP_FFT.exe,data/numbers_134217728.txt
7,19830,OMP_FFT.exe,data/numbers_134217728.txt
8,19036,OMP_FFT.exe,data/numbers_134217728.txt
9,18267,OMP_FFT.exe,data/numbers_134217728.txt
10,18024,OMP_FFT.exe,data/numbers_134217728.txt
11,17535,OMP_FFT.exe,data/numbers_134217728.txt
12,17113,OMP_FFT.exe,data/numbers_134217728.txt
13,16836,OMP_FFT.exe,data/numbers_134217728.txt
14,16722,OMP_FFT.exe,data/numbers_134217728.txt
15,16275,OMP_FFT.exe,data/numbers_134217728.txt
16,16015,OMP_FFT.exe,data/numbers_134217728.txt
17,15829,OMP_FFT.exe,data/numbers_134217728.txt
18,15760,OMP_FFT.exe,data/numbers_134217728.txt
19,15624,OMP_FFT.exe,data/numbers_134217728.txt
20,15341,OMP_FFT.exe,data/numbers_134217728.txt
1,295,OMP_FFT.exe,data\numbers_1048576.txt
2,165,OMP_FFT.exe,data\numbers_1048576.txt
3,119,OMP_FFT.exe,data\numbers_1048576.txt
4,89,OMP_FFT.exe,data\numbers_1048576.txt
5,81,OMP_FFT.exe,data\numbers_1048576.txt
6,84,OMP_FFT.exe,data\numbers_1048576.txt
7,78,OMP_FFT.exe,data\numbers_1048576.txt
8,72,OMP_FFT.exe,data\numbers_1048576.txt
9,75,OMP_FFT.exe,data\numbers_1048576.txt
10,68,OMP_FFT.exe,data\numbers_1048576.txt
11,69,OMP_FFT.exe,data\numbers_1048576.txt
12,69,OMP_FFT.exe,data\numbers_1048576.txt
13,63,OMP_FFT.exe,data\numbers_1048576.txt
14,61,OMP_FFT.exe,data\numbers_1048576.txt
15,62,OMP_FFT.exe,data\numbers_1048576.txt
16,58,OMP_FFT.exe,data\numbers_1048576.txt
17,58,OMP_FFT.exe,data\numbers_1048576.txt
18,61,OMP_FFT.exe,data\numbers_1048576.txt
19,63,OMP_FFT.exe,data\numbers_1048576.txt
20,65,OMP_FFT.exe,data\numbers_1048576.txt
