Threads,Durata FFT (ms),Eseguibile,File di input,Speedup
1,59773,OMP_FFT.exe,data/numbers_134217728.txt,1.0
2,35518,OMP_FFT.exe,data/numbers_134217728.txt,1.6828931809223493
3,29080,OMP_FFT.exe,data/numbers_134217728.txt,2.055467675378267
4,24410,OMP_FFT.exe,data/numbers_134217728.txt,2.4487095452683327
5,22091,OMP_FFT.exe,data/numbers_134217728.txt,2.705762527726223
6,20684,OMP_FFT.exe,data/numbers_134217728.txt,2.889818216979308
7,19830,OMP_FFT.exe,data/numbers_134217728.txt,3.014271306101866
8,19036,OMP_FFT.exe,data/numbers_134217728.txt,3.139997898718218
9,18267,OMP_FFT.exe,data/numbers_134217728.txt,3.2721848141457275
10,18024,OMP_FFT.exe,data/numbers_134217728.txt,3.316300488237905
11,17535,OMP_FFT.exe,data/numbers_134217728.txt,3.4087824351297407
12,17113,OMP_FFT.exe,data/numbers_134217728.txt,3.492841699292935
13,16836,OMP_FFT.exe,data/numbers_134217728.txt,3.550308861962461
14,16722,OMP_FFT.exe,data/numbers_134217728.txt,3.5745126181078817
15,16275,OMP_FFT.exe,data/numbers_134217728.txt,3.672688172043011
16,16015,OMP_FFT.exe,data/numbers_134217728.txt,3.7323134561348734
17,15829,OMP_FFT.exe,data/numbers_134217728.txt,3.7761703202981867
18,15760,OMP_FFT.exe,data/numbers_134217728.txt,3.792703045685279
19,15624,OMP_FFT.exe,data/numbers_134217728.txt,3.8257168458781363
20,15341,OMP_FFT.exe,data/numbers_134217728.txt,3.8962909849423113
1,295,OMP_FFT.exe,data\numbers_1048576.txt,1.0
2,165,OMP_FFT.exe,data\numbers_1048576.txt,1.7878787878787878
3,119,OMP_FFT.exe,data\numbers_1048576.txt,2.4789915966386555
4,89,OMP_FFT.exe,data\numbers_1048576.txt,3.3146067415730336
5,81,OMP_FFT.exe,data\numbers_1048576.txt,3.6419753086419755
6,84,OMP_FFT.exe,data\numbers_1048576.txt,3.511904761904762
7,78,OMP_FFT.exe,data\numbers_1048576.txt,3.782051282051282
8,72,OMP_FFT.exe,data\numbers_1048576.txt,4.097222222222222
9,75,OMP_FFT.exe,data\numbers_1048576.txt,3.933333333333333
10,68,OMP_FFT.exe,data\numbers_1048576.txt,4.338235294117647
11,69,OMP_FFT.exe,data\numbers_1048576.txt,4.27536231884058
12,69,OMP_FFT.exe,data\numbers_1048576.txt,4.27536231884058
13,63,OMP_FFT.exe,data\numbers_1048576.txt,4.682539682539683
14,61,OMP_FFT.exe,data\numbers_1048576.txt,4.836065573770492
15,62,OMP_FFT.exe,data\numbers_1048576.txt,4.758064516129032
16,58,OMP_FFT.exe,data\numbers_1048576.txt,5.086206896551724
17,58,OMP_FFT.exe,data\numbers_1048576.txt,5.086206896551724
18,61,OMP_FFT.exe,data\numbers_1048576.txt,4.836065573770492
19,63,OMP_FFT.exe,data\numbers_1048576.txt,4.682539682539683
20,65,OMP_FFT.exe,data\numbers_1048576.txt,4.538461538461538
